year,row_sector,bt_all,exporter_num,importer_num,sector
2010,G,12976.75,4,2,1
2010,L,3904.56,4,2,2
2010,H,3155.44,4,2,3
2011,G,17472.50,4,2,1
2011,L,4635.93,4,2,2
2011,H,3400.63,4,2,3
1995,G,140.24,5,2,1
1995,L,0.00,5,2,2
1995,H,0.00,5,2,3
1996,G,209.85,5,2,1
1996,L,0.00,5,2,2
1996,H,0.00,5,2,3
1997,G,314.78,5,2,1
1997,L,0.00,5,2,2
1997,H,0.00,5,2,3
1998,G,370.86,5,2,1
1998,L,0.00,5,2,2
1998,H,0.00,5,2,3
1999,G,279.52,5,2,1
1999,L,0.00,5,2,2
1999,H,0.00,5,2,3
2000,G,494.78,5,2,1
2000,L,0.01,5,2,2
2000,H,0.00,5,2,3
2001,G,856.57,5,2,1
2001,L,0.01,5,2,2
2001,H,0.00,5,2,3
2002,G,699.80,5,2,1
2002,L,0.02,5,2,2
2002,H,0.00,5,2,3
2003,G,440.38,5,2,1
2003,L,0.01,5,2,2
2003,H,0.00,5,2,3
2004,G,524.12,5,2,1
2004,L,0.01,5,2,2
2004,H,0.00,5,2,3
2005,G,960.83,5,2,1
2005,L,0.02,5,2,2
2005,H,0.00,5,2,3
2006,G,988.82,5,2,1
2006,L,0.03,5,2,2
2006,H,0.00,5,2,3
2007,G,1542.60,5,2,1
2007,L,0.06,5,2,2
2007,H,0.00,5,2,3
2008,G,2217.09,5,2,1
2008,L,0.13,5,2,2
2008,H,0.00,5,2,3
2009,G,1637.10,5,2,1
2009,L,0.18,5,2,2
2009,H,0.00,5,2,3
2010,G,2995.84,5,2,1
2010,L,0.20,5,2,2
2010,H,0.00,5,2,3
2011,G,3869.37,5,2,1
2011,L,0.21,5,2,2
2011,H,0.00,5,2,3
1995,G,2293.16,6,2,1
1995,L,520.78,6,2,2
1995,H,19.34,6,2,3
1996,G,2279.16,6,2,1
1996,L,790.85,6,2,2
1996,H,28.00,6,2,3
1997,G,3358.89,6,2,1
1997,L,1017.85,6,2,2
1997,H,10.70,6,2,3
1998,G,3263.07,6,2,1
1998,L,618.88,6,2,2
1998,H,33.58,6,2,3
1999,G,2370.27,6,2,1
1999,L,472.52,6,2,2
1999,H,4.13,6,2,3
2000,G,2690.14,6,2,1
2000,L,563.55,6,2,2
2000,H,12.36,6,2,3
2001,G,2691.44,6,2,1
2001,L,909.97,6,2,2
2001,H,79.21,6,2,3
2002,G,2096.97,6,2,1
2002,L,688.72,6,2,2
2002,H,51.65,6,2,3
2003,G,2200.67,6,2,1
2003,L,1175.90,6,2,2
2003,H,40.09,6,2,3
2004,G,2426.34,6,2,1
2004,L,1286.48,6,2,2
2004,H,17.94,6,2,3
2005,G,2832.57,6,2,1
2005,L,1567.58,6,2,2
2005,H,21.61,6,2,3
2006,G,3185.60,6,2,1
2006,L,352.88,6,2,2
2006,H,11.14,6,2,3
2007,G,3870.55,6,2,1
2007,L,377.76,6,2,2
2007,H,14.09,6,2,3
2008,G,5282.65,6,2,1
2008,L,285.54,6,2,2
2008,H,20.97,6,2,3
2009,G,4088.17,6,2,1
2009,L,258.69,6,2,2
2009,H,15.89,6,2,3
2010,G,5680.61,6,2,1
2010,L,526.07,6,2,2
