iso_i,year,mu_GG,mu_LG,mu_HG,mu_GL,mu_LL,mu_HL,mu_GH,mu_LH,mu_HH
DEU,2002,.787677844206522,.1537397883723626,.0585823674211155,.4272919114196102,.4504338647849644,.1222742237954254,.3115452461486206,.2722558318500821,.4161989220012973
DEU,2003,.7880557258254665,.1520716653794926,.0598726087950409,.425953510585524,.4506004349861465,.1234460544283294,.3034337447451395,.2734457040909932,.4231205511638674
DEU,2004,.7931189412127578,.1492196292006326,.0576614295866096,.4291279130929987,.4521995428373374,.1186725440696638,.3005232408621511,.2793038806763429,.4201728784615061
DEU,2005,.7962976393051079,.1500149749389146,.0536873857559776,.4267025643013837,.454366808898043,.1189306268005734,.2951233757812448,.2712479939885788,.4336286302301764
DEU,2006,.8047038775444966,.1439663172396616,.0513298052158418,.4266245137424746,.456115712532711,.1172597737248146,.3023088552670598,.2593903797447274,.4383007649882129
DEU,2007,.8117279215884553,.1386950205102047,.04957705790134,.427657752215245,.456486531889095,.1158557158956599,.3153017535029959,.2468047681515011,.4378934783455029
DEU,2008,.8097954653953644,.1413549703520095,.048849564252626,.4351256824326604,.450410987838173,.1144633297291666,.3201407346610539,.2427828822082751,.437076383130671
DEU,2009,.7868065991070388,.1574050530363459,.0557883478566154,.4119409822606381,.4638910391148377,.1241679786245242,.293634515108082,.2505715911217272,.4557938937701907
DEU,2010,.794744770440086,.1515190327401406,.0537361968197734,.4112032959746593,.4669026900425559,.1218940139827849,.2975276921480284,.2525638056957967,.4499085021561748
DEU,2011,.8058010033552617,.1428528355574181,.0513461610873202,.4225277164365751,.4591157280968695,.1183565554665554,.3094551375869163,.2482082263720008,.4423366360410828
IND,1995,.8268799962672285,.1471730407799933,.0259469629527781,.6748711584310472,.262743384466129,.0623854571028238,.6523471969475234,.2617982182272865,.0858545848251901
IND,1996,.8171912767747855,.1522143320362367,.0305943911889779,.6648858989319172,.2636401283669217,.0714739727011611,.6346103984036456,.2648783475972583,.1005112539990961
IND,1997,.8120991387151322,.1513752906671266,.0365255706177414,.6645599410736669,.2587799795869023,.0766600793394308,.6349007993423296,.249725354327998,.1153738463296725
IND,1998,.8003680374889478,.1548434940591042,.0447884684519481,.6476268437382661,.2661799553041316,.0861932009576024,.6164222190984708,.2449572253700647,.1386205555314645
IND,1999,.8024342969357348,.1590891304670217,.0384765725972434,.643469471865187,.2667756293708256,.0897548987639875,.5560553213291748,.2592262586771625,.1847184199936627
IND,2000,.7994825225242386,.1664280466607786,.0340894308149829,.6618915321607381,.2563332304228636,.0817752374163982,.5230103339043576,.2671722920109308,.2098173740847116
IND,2001,.7973727049118696,.1706928621558191,.0319344329323113,.6680881201658226,.2579798953690204,.073931984465157,.5079521102741097,.2714374074863202,.2206104822395701
