iso_i,code,year,k_ppi
AUS,N,2007,61.79987868
AUS,N,2008,63.06474893
AUS,N,2009,62.06274496
AUS,N,2010,.
AUS,N,2011,.
AUS,O,1995,100
AUS,O,1996,98.06776857
AUS,O,1997,97.21589695
AUS,O,1998,96.89191999
AUS,O,1999,92.94811549
AUS,O,2000,91.77265669
AUS,O,2001,89.99194625
AUS,O,2002,88.09076825
AUS,O,2003,82.24559189
AUS,O,2004,78.92923793
AUS,O,2005,70.0580906
AUS,O,2006,66.30702639
AUS,O,2007,57.26332863
AUS,O,2008,58.43534842
AUS,O,2009,57.50689866
AUS,O,2010,.
AUS,O,2011,.
AUS,P,1995,NA
AUS,P,1996,NA
AUS,P,1997,NA
AUS,P,1998,NA
AUS,P,1999,NA
AUS,P,2000,NA
AUS,P,2001,NA
AUS,P,2002,NA
AUS,P,2003,NA
AUS,P,2004,NA
AUS,P,2005,NA
AUS,P,2006,NA
AUS,P,2007,NA
AUS,P,2008,NA
AUS,P,2009,NA
AUS,P,2010,.
AUS,P,2011,.
AUT,AtB,1995,100
AUT,AtB,1996,101.6893155
AUT,AtB,1997,104.06134
AUT,AtB,1998,105.1997739
AUT,AtB,1999,106.4195395
AUT,AtB,2000,109.6209608
AUT,AtB,2001,110.5651053
AUT,AtB,2002,111.6753936
AUT,AtB,2003,111.9332099
AUT,AtB,2004,112.9192373
AUT,AtB,2005,115.2140912
AUT,AtB,2006,118.3397582
AUT,AtB,2007,120.4663301
AUT,AtB,2008,NA
AUT,AtB,2009,NA
AUT,AtB,2010,.
AUT,AtB,2011,.
AUT,C,1995,100
AUT,C,1996,102.8238556
AUT,C,1997,106.3315017
AUT,C,1998,109.8600991
AUT,C,1999,111.6015884
AUT,C,2000,115.7679631
AUT,C,2001,117.0353064
AUT,C,2002,114.3910008
AUT,C,2003,115.1175026
AUT,C,2004,117.467865
AUT,C,2005,118.4574067
AUT,C,2006,118.5414792
AUT,C,2007,117.0915515
AUT,C,2008,NA
AUT,C,2009,NA
AUT,C,2010,.
AUT,C,2011,.
AUT,15t16,1995,100
AUT,15t16,1996,102.4179108
AUT,15t16,1997,105.2126782
AUT,15t16,1998,107.0611862
AUT,15t16,1999,107.4589218
AUT,15t16,2000,110.3091755
AUT,15t16,2001,110.9378388
AUT,15t16,2002,112.3751992
AUT,15t16,2003,112.1393308
AUT,15t16,2004,113.1345903
AUT,15t16,2005,113.547405
AUT,15t16,2006,113.5018236
AUT,15t16,2007,112.6119747
AUT,15t16,2008,NA
AUT,15t16,2009,NA
AUT,15t16,2010,.
AUT,15t16,2011,.
AUT,17t18,1995,100
AUT,17t18,1996,102.8060303
AUT,17t18,1997,106.2072873
AUT,17t18,1998,108.764772
AUT,17t18,1999,109.5936393
AUT,17t18,2000,113.625143
AUT,17t18,2001,114.9113545
AUT,17t18,2002,113.0285663
AUT,17t18,2003,111.9815714
AUT,17t18,2004,114.0726121
AUT,17t18,2005,114.4254992
AUT,17t18,2006,113.9136893
AUT,17t18,2007,112.9170926
AUT,17t18,2008,NA
AUT,17t18,2009,NA
AUT,17t18,2010,.
AUT,17t18,2011,.
AUT,19,1995,100
AUT,19,1996,102.8060303
AUT,19,1997,106.2072873
AUT,19,1998,108.764772
AUT,19,1999,109.5936393
AUT,19,2000,113.625143
AUT,19,2001,114.9113545
AUT,19,2002,113.0285663
AUT,19,2003,111.9815714
AUT,19,2004,114.0726121
AUT,19,2005,114.4254992
AUT,19,2006,113.9136893
AUT,19,2007,112.9170926
AUT,19,2008,NA
AUT,19,2009,NA
AUT,19,2010,.
AUT,19,2011,.
AUT,20,1995,100
AUT,20,1996,102.69669
AUT,20,1997,105.6136159
AUT,20,1998,108.204162
AUT,20,1999,110.6575615
AUT,20,2000,113.2723067
AUT,20,2001,116.7996524
AUT,20,2002,110.3939147
AUT,20,2003,112.1913118
AUT,20,2004,113.9111118
AUT,20,2005,114.484965
AUT,20,2006,114.6706655
AUT,20,2007,113.9216255
AUT,20,2008,NA
AUT,20,2009,NA
AUT,20,2010,.
AUT,20,2011,.
AUT,21t22,1995,100
AUT,21t22,1996,93.50878979
AUT,21t22,1997,86.16542013
AUT,21t22,1998,78.02954336
AUT,21t22,1999,70.93602044
AUT,21t22,2000,70.59186098
AUT,21t22,2001,61.95399786
AUT,21t22,2002,58.15628777
AUT,21t22,2003,52.49074437
AUT,21t22,2004,51.98673229
AUT,21t22,2005,47.62192671
AUT,21t22,2006,43.41547585
AUT,21t22,2007,39.51433847
AUT,21t22,2008,NA
AUT,21t22,2009,NA
AUT,21t22,2010,.
AUT,21t22,2011,.
AUT,23,1995,100
AUT,23,1996,102.8320483
AUT,23,1997,105.3868899
AUT,23,1998,107.2143037
AUT,23,1999,112.2461314
AUT,23,2000,114.7476339
AUT,23,2001,113.8772648
AUT,23,2002,112.1214464
AUT,23,2003,115.4919318
