iso_i,Code,year,real_k
AUT,17t18,2010,.
AUT,17t18,2011,.
AUT,19,1995,519.7236624
AUT,19,1996,511.584622
AUT,19,1997,483.3935515
AUT,19,1998,482.0233701
AUT,19,1999,525.7729821
AUT,19,2000,486.6967613
AUT,19,2001,627.5699588
AUT,19,2002,523.6138186
AUT,19,2003,525.3976546
AUT,19,2004,550.9944491
AUT,19,2005,491.0155896
AUT,19,2006,443.3477572
AUT,19,2007,406.0933605
AUT,19,2008,NA
AUT,19,2009,NA
AUT,19,2010,.
AUT,19,2011,.
AUT,20,1995,3327.65495
AUT,20,1996,3396.164237
AUT,20,1997,3463.660617
AUT,20,1998,3539.877411
AUT,20,1999,3651.285625
AUT,20,2000,3754.1517
AUT,20,2001,3858.166888
AUT,20,2002,3793.939569
AUT,20,2003,3725.934177
AUT,20,2004,3699.877387
AUT,20,2005,3676.285642
AUT,20,2006,3680.443037
AUT,20,2007,3672.39485
AUT,20,2008,NA
AUT,20,2009,NA
AUT,20,2010,.
AUT,20,2011,.
AUT,21t22,1995,5678.090358
AUT,21t22,1996,5664.998494
AUT,21t22,1997,5789.581851
AUT,21t22,1998,5937.577912
AUT,21t22,1999,6034.648799
AUT,21t22,2000,6297.092046
AUT,21t22,2001,6831.320363
AUT,21t22,2002,7336.333156
AUT,21t22,2003,7667.228945
AUT,21t22,2004,7629.847139
AUT,21t22,2005,7708.947102
AUT,21t22,2006,7962.04659
AUT,21t22,2007,8436.071857
AUT,21t22,2008,NA
AUT,21t22,2009,NA
AUT,21t22,2010,.
AUT,21t22,2011,.
AUT,23,1995,1300.105245
AUT,23,1996,1277.446213
AUT,23,1997,1215.859429
AUT,23,1998,1177.126486
AUT,23,1999,1214.741701
AUT,23,2000,1331.759269
AUT,23,2001,1285.383825
AUT,23,2002,1227.54875
AUT,23,2003,1282.605438
AUT,23,2004,1330.037375
AUT,23,2005,1393.529462
AUT,23,2006,1464.60783
AUT,23,2007,1762.283522
AUT,23,2008,NA
AUT,23,2009,NA
AUT,23,2010,.
AUT,23,2011,.
AUT,24,1995,5034.069868
AUT,24,1996,4960.619411
AUT,24,1997,4976.534223
AUT,24,1998,4969.528825
AUT,24,1999,5079.177507
AUT,24,2000,5236.834528
AUT,24,2001,5330.718047
AUT,24,2002,5309.048232
AUT,24,2003,5349.790003
AUT,24,2004,5327.917689
AUT,24,2005,5308.438665
AUT,24,2006,5330.276796
AUT,24,2007,5373.185345
AUT,24,2008,NA
AUT,24,2009,NA
AUT,24,2010,.
AUT,24,2011,.
AUT,25,1995,1912.911503
AUT,25,1996,1918.73767
AUT,25,1997,1947.198207
AUT,25,1998,2000.587697
AUT,25,1999,2046.473568
AUT,25,2000,2111.946511
AUT,25,2001,2180.274371
AUT,25,2002,2202.2273
AUT,25,2003,2197.185434
AUT,25,2004,2193.218092
AUT,25,2005,2187.335492
AUT,25,2006,2203.054821
AUT,25,2007,2218.588891
AUT,25,2008,NA
AUT,25,2009,NA
AUT,25,2010,.
AUT,25,2011,.
AUT,26,1995,4147.273081
AUT,26,1996,4155.30329
AUT,26,1997,4088.537074
AUT,26,1998,4078.877857
AUT,26,1999,4063.554047
AUT,26,2000,4093.530951
AUT,26,2001,4109.690298
AUT,26,2002,4071.699602
AUT,26,2003,4009.744378
AUT,26,2004,3935.415984
AUT,26,2005,3874.752398
AUT,26,2006,3848.7055
AUT,26,2007,3827.05758
AUT,26,2008,NA
AUT,26,2009,NA
AUT,26,2010,.
AUT,26,2011,.
AUT,27t28,1995,8815.436518
AUT,27t28,1996,8794.004251
AUT,27t28,1997,8842.803819
AUT,27t28,1998,8968.151646
AUT,27t28,1999,9016.085821
AUT,27t28,2000,9123.848564
AUT,27t28,2001,9286.032221
AUT,27t28,2002,9358.705612
AUT,27t28,2003,9424.095718
AUT,27t28,2004,9460.305811
AUT,27t28,2005,9525.120514
AUT,27t28,2006,9662.007114
AUT,27t28,2007,9823.860808
AUT,27t28,2008,NA
AUT,27t28,2009,NA
AUT,27t28,2010,.
AUT,27t28,2011,.
AUT,29,1995,4585.148087
AUT,29,1996,4546.54609
AUT,29,1997,4538.507164
AUT,29,1998,4589.062198
AUT,29,1999,4629.975282
AUT,29,2000,4720.476034
AUT,29,2001,4915.920324
AUT,29,2002,4970.933773
AUT,29,2003,5052.551982
AUT,29,2004,5068.940969
AUT,29,2005,5111.264766
AUT,29,2006,5231.643452
AUT,29,2007,5360.874631
AUT,29,2008,NA
AUT,29,2009,NA
AUT,29,2010,.
AUT,29,2011,.
AUT,30t33,1995,4888.537513
AUT,30t33,1996,4933.159961
AUT,30t33,1997,4953.409224
AUT,30t33,1998,5028.860601
AUT,30t33,1999,5088.033008
AUT,30t33,2000,5488.452816
AUT,30t33,2001,5985.760444
AUT,30t33,2002,6075.859564
AUT,30t33,2003,6055.691347
AUT,30t33,2004,5912.018465
AUT,30t33,2005,5806.024806
AUT,30t33,2006,5779.613894
AUT,30t33,2007,5765.473202
AUT,30t33,2008,NA
AUT,30t33,2009,NA
AUT,30t33,2010,.
AUT,30t33,2011,.
AUT,34t35,1995,3486.479682
AUT,34t35,1996,3445.571159
AUT,34t35,1997,3472.433542
AUT,34t35,1998,3520.611236
AUT,34t35,1999,3567.431487
AUT,34t35,2000,3646.539069
AUT,34t35,2001,3768.238528
AUT,34t35,2002,3934.697413
AUT,34t35,2003,4253.602496
AUT,34t35,2004,4379.290454
AUT,34t35,2005,4495.823716
AUT,34t35,2006,4660.448131
AUT,34t35,2007,4807.546508
AUT,34t35,2008,NA
AUT,34t35,2009,NA
AUT,34t35,2010,.
AUT,34t35,2011,.
AUT,36t37,1995,2068.116087
AUT,36t37,1996,2090.763089
AUT,36t37,1997,2103.462994
AUT,36t37,1998,2145.89807
AUT,36t37,1999,2161.106368
AUT,36t37,2000,2249.682032
AUT,36t37,2001,2307.774
AUT,36t37,2002,2306.825364
AUT,36t37,2003,2292.852329
AUT,36t37,2004,2271.517048
AUT,36t37,2005,2253.265524
AUT,36t37,2006,2250.699456
AUT,36t37,2007,2256.91451
AUT,36t37,2008,NA
AUT,36t37,2009,NA
AUT,36t37,2010,.
AUT,36t37,2011,.
AUT,E,1995,28832.51057
AUT,E,1996,28939.86851
AUT,E,1997,28948.96021
AUT,E,1998,28863.12024
AUT,E,1999,28635.93269
AUT,E,2000,28278.98524
AUT,E,2001,27858.53257
AUT,E,2002,27285.9104
AUT,E,2003,26822.24225
AUT,E,2004,26411.79454
AUT,E,2005,26167.58763
AUT,E,2006,25973.42368
